L1Bit	L1SeedName	PS	PS_rate	error	pure_rate	prop_rate
208	L1_DoubleEG_25_12_er2p5	1	6040.88	881.15	514.12	1459.25
209	L1_DoubleEG_25_14_er2p5	1	3984.41	715.62	0	629.26
210	L1_DoubleEG_27_14_er2p5	1	3084.71	629.66	0	330.43
212	L1_DoubleEG_LooseIso20_10_er2p5	0	0	0	0	0
213	L1_DoubleEG_LooseIso22_10_er2p5	0	0	0	0	0
214	L1_DoubleEG_LooseIso22_12_er2p5	1	5269.71	822.99	642.65	1336.84
215	L1_DoubleEG_LooseIso25_12_er2p5	1	4370	749.45	0	565.67
217	L1_DoubleLooseIsoEG22er2p1	1	128.53	128.53	0	3.67
218	L1_DoubleLooseIsoEG24er2p1	1	128.53	128.53	0	3.67
224	L1_TripleEG_16_12_8_er2p5	0	0	0	0	0
225	L1_TripleEG_16_15_8_er2p5	0	0	0	0	0
226	L1_TripleEG_18_17_8_er2p5	1	1028.24	363.54	257.06	457.67
227	L1_TripleEG_18_18_12_er2p5	1	0	0	0	0
228	L1_TripleEG16er2p5	1	0	0	0	0
234	L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3	0	0	0	0	0
235	L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3	1	12595.89	1272.38	0	886.04
236	L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3	1	10539.37	1163.88	0	548.93
238	L1_LooseIsoEG24er2p1_HTT100er	0	0	0	0	0
239	L1_LooseIsoEG26er2p1_HTT100er	1	13367.05	1310.75	514.12	1307.11
240	L1_LooseIsoEG28er2p1_HTT100er	1	12338.84	1259.33	0	648.39
241	L1_LooseIsoEG30er2p1_HTT100er	1	11182.11	1198.84	0	503.15
247	L1_DoubleEG8er2p5_HTT260er	0	0	0	0	0
248	L1_DoubleEG8er2p5_HTT280er	0	0	0	0	0
249	L1_DoubleEG8er2p5_HTT300er	1	899.71	340.06	128.53	196.97
250	L1_DoubleEG8er2p5_HTT320er	1	771.18	314.83	0	68.44
251	L1_DoubleEG8er2p5_HTT340er	1	642.65	287.4	0	42.73
257	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3	1	6297.95	899.71	1028.24	1727.89
258	L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	1	5141.18	812.89	0	673.96
259	L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3	1	514.12	257.06	0	26.95
264	L1_SingleTau120er2p1	1	2313.53	545.3	0	118.62
265	L1_SingleTau130er2p1	1	1927.94	497.79	0	57.41
267	L1_DoubleTau70er2p1	1	1799.41	480.91	0	226.94
269	L1_DoubleIsoTau28er2p1	0	0	0	0	0
270	L1_DoubleIsoTau30er2p1	0	0	0	0	0
271	L1_DoubleIsoTau32er2p1	1	14523.79	1366.28	2056.47	5106.25
272	L1_DoubleIsoTau34er2p1	1	12210.32	1252.75	0	3000.17
273	L1_DoubleIsoTau36er2p1	1	11182.11	1198.84	0	2543.89
274	L1_DoubleIsoTau28er2p1_Mass_Max90	0	0	0	0	0
275	L1_DoubleIsoTau28er2p1_Mass_Max80	0	0	0	0	0
276	L1_DoubleIsoTau30er2p1_Mass_Max90	0	0	0	0	0
277	L1_DoubleIsoTau30er2p1_Mass_Max80	0	0	0	0	0
279	L1_Mu18er2p1_Tau24er2p1	1	4370	749.45	257.06	1399.55
280	L1_Mu18er2p1_Tau26er2p1	1	2056.47	514.12	0	500.92
282	L1_Mu22er2p1_IsoTau28er2p1	0	0	0	0	0
283	L1_Mu22er2p1_IsoTau30er2p1	0	0	0	0	0
284	L1_Mu22er2p1_IsoTau32er2p1	1	514.12	257.06	0	42.73
285	L1_Mu22er2p1_IsoTau34er2p1	1	385.59	222.62	0	29.88
286	L1_Mu22er2p1_IsoTau36er2p1	1	385.59	222.62	0	29.88
287	L1_Mu22er2p1_IsoTau40er2p1	1	385.59	222.62	0	29.88
289	L1_Mu22er2p1_Tau70er2p1	1	257.06	181.77	0	17.03
291	L1_IsoTau40er2p1_ETMHF80	0	0	0	0	0
292	L1_IsoTau40er2p1_ETMHF90	1	5012.65	802.67	0	945.11
293	L1_IsoTau40er2p1_ETMHF100	1	3727.36	692.15	0	341.02
294	L1_IsoTau40er2p1_ETMHF110	1	2570.59	574.8	0	157.87
298	L1_QuadJet36er2p5_IsoTau52er2p1	190	0	0	0	0
309	L1_SingleJet35	64000	0	0	0	0
310	L1_SingleJet60	17000	0	0	0	0
311	L1_SingleJet90	1500	0	0	0	0
312	L1_SingleJet120	350	0	0	0	0
313	L1_SingleJet180	1	2699.12	589	0	146.42
314	L1_SingleJet200	1	2185	529.94	0	76.03
316	L1_SingleJet35er2p5	0	0	0	0	0
317	L1_SingleJet60er2p5	0	0	0	0	0
318	L1_SingleJet90er2p5	0	0	0	0	0
319	L1_SingleJet120er2p5	0	0	0	0	0
320	L1_SingleJet140er2p5	0	0	0	0	0
321	L1_SingleJet160er2p5	0	0	0	0	0
322	L1_SingleJet180er2p5	1	2442.06	560.25	0	123.21
324	L1_SingleJet35_FWD3p0	103000	0	0	0	0
325	L1_SingleJet60_FWD3p0	770	0	0	0	0
326	L1_SingleJet90_FWD3p0	250	0	0	0	0
327	L1_SingleJet120_FWD3p0	40	0	0	0	0
329	L1_SingleJet8erHE	0	0	0	0	0
330	L1_SingleJet10erHE	0	0	0	0	0
331	L1_SingleJet12erHE	0	0	0	0	0
332	L1_SingleJet140er2p5_ETMHF70	0	0	0	0	0
333	L1_SingleJet140er2p5_ETMHF80	0	0	0	0	0
334	L1_SingleJet140er2p5_ETMHF90	0	0	0	0	0
340	L1_DoubleJet40er2p5	8400	0	0	0	0
341	L1_DoubleJet100er2p5	170	0	0	0	0
342	L1_DoubleJet120er2p5	70	0	0	0	0
343	L1_DoubleJet150er2p5	1	385.59	222.62	0	21.69
345	L1_DoubleJet100er2p3_dEta_Max1p6	0	0	0	0	0
346	L1_DoubleJet112er2p3_dEta_Max1p6	1	2313.53	545.3	514.12	771.28
348	L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5	0	0	0	0	0
349	L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5	0	0	0	0	0
350	L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5	0	0	0	0	0
351	L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5	1	1413.82	426.28	0	203.81
352	L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5	1	899.71	340.06	0	142.38
353	L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5	1	385.59	222.62	0	7.43
355	L1_DoubleJet_90_30_DoubleJet30_Mass_Min620	0	0	0	0	0
356	L1_DoubleJet_100_30_DoubleJet30_Mass_Min620	0	0	0	0	0
357	L1_DoubleJet_110_35_DoubleJet35_Mass_Min620	1	4370	749.45	514.12	1274.97
358	L1_DoubleJet_115_40_DoubleJet40_Mass_Min620	1	2570.59	574.8	0	494.8
359	L1_DoubleJet_120_45_DoubleJet45_Mass_Min620	1	2056.47	514.12	0	323.43
360	L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28	1	2570.59	574.8	0	494.8
361	L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28	1	2056.47	514.12	0	323.43
363	L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp	0	0	0	0	0
364	L1_DoubleJet_80_30_Mass_Min420_IsoTau40_RmOvlp	0	0	0	0	0
365	L1_DoubleJet_80_30_Mass_Min420_Mu8	0	0	0	0	0
366	L1_DoubleJet_80_30_Mass_Min420_DoubleMu0_SQ	0	0	0	0	0
372	L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5	1	2185	529.94	128.53	526.33
373	L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5	1	1156.77	385.59	0	235.54
374	L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5	1	771.18	314.83	0	121.67
376	L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0	1	642.65	287.4	0	146.97
382	L1_QuadJet60er2p5	0	0	0	0	0
384	L1_HTT280er_QuadJet_70_55_40_35_er2p4	0	0	0	0	0
385	L1_HTT320er_QuadJet_70_55_40_40_er2p4	1	1670.88	463.42	128.53	376.07
386	L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3	1	1413.82	426.28	0	237.66
387	L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3	1	1028.24	363.54	0	155.92
398	L1_HTT120er	11400	0	0	0	0
399	L1_HTT160er	4100	0	0	0	0
400	L1_HTT200er	1600	0	0	0	0
401	L1_HTT255er	500	0	0	0	0
402	L1_HTT280er	0	0	0	0	0
403	L1_HTT320er	0	0	0	0	0
404	L1_HTT360er	1	3855.88	703.98	128.53	497.4
405	L1_HTT400er	1	2442.06	560.25	0	122.29
406	L1_HTT450er	1	1670.88	463.42	0	54.57
410	L1_ETT1200	0	0	0	0	0
411	L1_ETT1600	0	0	0	0	0
412	L1_ETT2000	1	1028.24	363.54	0	20.18
416	L1_ETM120	0	0	0	0	0
417	L1_ETM150	1	1285.29	406.45	0	46.2
421	L1_ETMHF100	1	5141.18	812.89	514.12	1091.49
422	L1_ETMHF110	1	3084.71	629.66	0	271.05
423	L1_ETMHF120	1	1799.41	480.91	0	70.62
424	L1_ETMHF130	1	1670.88	463.42	0	61.44
425	L1_ETMHF140	1	1413.82	426.28	0	47.98
426	L1_ETMHF150	1	1413.82	426.28	0	47.98
428	L1_ETMHF90_HTT60er	1	7326.18	970.38	1799.41	2836.28
429	L1_ETMHF100_HTT60er	1	4241.47	738.35	0	432.78
430	L1_ETMHF110_HTT60er	1	2827.65	602.86	0	190.72
431	L1_ETMHF120_HTT60er	1	1670.88	463.42	0	54.55
432	L1_ETMHF130_HTT60er	1	1542.36	445.24	0	45.37
443	L1_ETMHF120_NotSecondBunchInTrain	0	0	0	0	0
444	L1_ETMHF110_HTT60er_NotSecondBunchInTrain	0	0	0	0	0
458	L1_AlwaysTrue	0	0	0	0	0
459	L1_ZeroBias	17881	0	0	0	0
460	L1_ZeroBias_copy	0	0	0	0	0
461	L1_MinimumBiasHF0_AND_BptxAND	0	0	0	0	0
463	L1_NotBptxOR	0	0	0	0	0
464	L1_BptxOR	0	0	0	0	0
465	L1_BptxXOR	0	0	0	0	0
466	L1_BptxPlus	0	0	0	0	0
467	L1_BptxMinus	0	0	0	0	0
468	L1_UnpairedBunchBptxPlus	0	0	0	0	0
469	L1_UnpairedBunchBptxMinus	0	0	0	0	0
471	L1_IsolatedBunch	110	0	0	0	0
472	L1_FirstBunchBeforeTrain	269167	0	0	0	0
473	L1_FirstBunchInTrain	269167	0	0	0	0
474	L1_SecondBunchInTrain	0	0	0	0	0
475	L1_SecondLastBunchInTrain	0	0	0	0	0
476	L1_LastBunchInTrain	0	0	0	0	0
477	L1_FirstBunchAfterTrain	269167	0	0	0	0
478	L1_LastCollisionInTrain	269167	0	0	0	0
479	L1_FirstCollisionInTrain	269167	0	0	0	0
480	L1_FirstCollisionInOrbit	1103	0	0	0	0
482	L1_BPTX_NotOR_VME	0	0	0	0	0
483	L1_BPTX_OR_Ref3_VME	0	0	0	0	0
484	L1_BPTX_OR_Ref4_VME	0	0	0	0	0
485	L1_BPTX_RefAND_VME	0	0	0	0	0
486	L1_BPTX_AND_Ref1_VME	0	0	0	0	0
487	L1_BPTX_AND_Ref3_VME	0	0	0	0	0
488	L1_BPTX_AND_Ref4_VME	0	0	0	0	0
489	L1_BPTX_BeamGas_Ref1_VME	0	0	0	0	0
490	L1_BPTX_BeamGas_Ref2_VME	0	0	0	0	0
491	L1_BPTX_BeamGas_B1_VME	0	0	0	0	0
492	L1_BPTX_BeamGas_B2_VME	0	0	0	0	0
494	L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142	6	0	0	0	0
500	L1_HCAL_LaserMon_Trig	0	0	0	0	0
501	L1_HCAL_LaserMon_Veto	0	0	0	0	0
503	L1_TOTEM_1	0	0	0	0	0
504	L1_TOTEM_2	0	0	0	0	0
505	L1_TOTEM_3	0	0	0	0	0
506	L1_TOTEM_4	0	0	0	0	0
						
						
						
9999	Total rate	1	95.88	3.51	24.29	95.88

